deepjet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, central, 0, 0, 2.5, 70, 100, 0.3091789828962042, 0.40953196209510867, 31.061492624447176*(x-0.3091789828962042)*(x-0.3091789828962042)*(x-0.3091789828962042)-3.0694921687905743*(x-0.3091789828962042)*(x-0.3091789828962042)-0.32236945792792254*(x-0.3091789828962042)+1.037783125815639
3, iterativefit, central, 0, 0, 2.5, 70, 100, 0.40953196209510867, 0.5104054797768928, -122.88388204213302*(x-0.40953196209510867)*(x-0.40953196209510867)*(x-0.40953196209510867)+18.593594171975067*(x-0.40953196209510867)*(x-0.40953196209510867)+0.0*(x-0.40953196209510867)+1.005911969642925
3, iterativefit, central, 0, 0, 2.5, 70, 100, 0.5104054797768928, 0.6101566111320897, 91.87208128071045*(x-0.5104054797768928)*(x-0.5104054797768928)*(x-0.5104054797768928)-15.118575087387622*(x-0.5104054797768928)*(x-0.5104054797768928)+0.0*(x-0.5104054797768928)+1.0689781349441685
3, iterativefit, central, 0, 0, 2.5, 70, 100, 0.6101566111320897, 0.7116815143291608, -2.250617684916657*(x-0.6101566111320897)*(x-0.6101566111320897)*(x-0.6101566111320897)+1.1765258219489991*(x-0.6101566111320897)*(x-0.6101566111320897)-0.27372887822956293*(x-0.6101566111320897)+1.0097318200504188
3, iterativefit, central, 0, 0, 2.5, 70, 100, 0.7116815143291608, 0.8129618426173854, 4.246937913522353*(x-0.7116815143291608)*(x-0.7116815143291608)*(x-0.7116815143291608)-0.12965279041765485*(x-0.7116815143291608)*(x-0.7116815143291608)-0.10442895315932423*(x-0.7116815143291608)+0.9917131788964164
3, iterativefit, central, 0, 0, 2.5, 70, 100, 0.8129618426173854, 0.9045138333312045, -47.30782720590746*(x-0.8129618426173854)*(x-0.8129618426173854)*(x-0.8129618426173854)+6.4966886355693*(x-0.8129618426173854)*(x-0.8129618426173854)+0.0*(x-0.8129618426173854)+0.9842187997694588
3, iterativefit, central, 0, 0, 2.5, 70, 100, 0.9045138333312045, 0.9840544550207193, 54.30163847411868*(x-0.9045138333312045)*(x-0.9045138333312045)*(x-0.9045138333312045)-14.556455809538152*(x-0.9045138333312045)*(x-0.9045138333312045)+0.0*(x-0.9045138333312045)+1.0023700432490217
3, iterativefit, central, 0, 0, 2.5, 70, 100, 0.9840544550207193, 1.1, 0.9376018013914921
3, iterativefit, central, 0, 0, 2.5, 100, 140, -15, 0, 1.205016143022773
3, iterativefit, central, 0, 0, 2.5, 100, 140, 0, 0.054856430045485564, 1.205016143022773
3, iterativefit, central, 0, 0, 2.5, 100, 140, 0.054856430045485564, 0.2079083033483027, 12.720645251201661*(x-0.054856430045485564)*(x-0.054856430045485564)*(x-0.054856430045485564)+3.1744579758305846*(x-0.054856430045485564)*(x-0.054856430045485564)-1.865652089796392*(x-0.054856430045485564)+1.205016143022773
3, iterativefit, central, 0, 0, 2.5, 100, 140, 0.2079083033483027, 0.3090107633712769, -39.98884312066194*(x-0.2079083033483027)*(x-0.2079083033483027)*(x-0.2079083033483027)+6.217044439807808*(x-0.2079083033483027)*(x-0.2079083033483027)+0.0*(x-0.2079083033483027)+1.0394422062402882
3, iterativefit, central, 0, 0, 2.5, 100, 140, 0.3090107633712769, 0.41019878404516646, -0.2270393205268906*(x-0.3090107633712769)*(x-0.3090107633712769)*(x-0.3090107633712769)-0.11799930799532118*(x-0.3090107633712769)*(x-0.3090107633712769)+0.030854210218826193*(x-0.3090107633712769)+1.0616649548578916
3, iterativefit, central, 0, 0, 2.5, 100, 140, 0.41019878404516646, 0.51122542898893, 308.5773690765719*(x-0.41019878404516646)*(x-0.41019878404516646)*(x-0.41019878404516646)-46.76180445506925*(x-0.41019878404516646)*(x-0.41019878404516646)+0.0*(x-0.41019878404516646)+1.0633436069166093
3, iterativefit, central, 0, 0, 2.5, 100, 140, 0.51122542898893, 0.610658013358417, -202.26646169795703*(x-0.51122542898893)*(x-0.51122542898893)*(x-0.51122542898893)+31.06393147134298*(x-0.51122542898893)*(x-0.51122542898893)+0.0*(x-0.51122542898893)+0.9042539784145616
3, iterativefit, central, 0, 0, 2.5, 100, 140, 0.610658013358417, 0.7116967719943222, -1.509306148992904*(x-0.610658013358417)*(x-0.610658013358417)*(x-0.610658013358417)-0.6531231046046627*(x-0.610658013358417)*(x-0.610658013358417)+0.1782062485113645*(x-0.610658013358417)+1.0125351757012746
3, iterativefit, central, 0, 0, 2.5, 100, 140, 0.7116967719943222, 0.8124538870398011, 7.773449870093712*(x-0.7116967719943222)*(x-0.7116967719943222)*(x-0.7116967719943222)-2.5399412439607767*(x-0.7116967719943222)*(x-0.7116967719943222)+0.0*(x-0.7116967719943222)+1.0223164600445551
3, iterativefit, central, 0, 0, 2.5, 100, 140, 0.8124538870398011, 0.9050332827599883, 83.45355057100146*(x-0.8124538870398011)*(x-0.8124538870398011)*(x-0.8124538870398011)-11.19655377624065*(x-0.8124538870398011)*(x-0.8124538870398011)-0.2750862028738156*(x-0.8124538870398011)+1.004482338001454
3, iterativefit, central, 0, 0, 2.5, 100, 140, 0.9050332827599883, 0.9841642343385205, 7.41021386795518*(x-0.9050332827599883)*(x-0.9050332827599883)*(x-0.9050332827599883)+0.39932250345678333*(x-0.9050332827599883)*(x-0.9050332827599883)-0.2023993145806542*(x-0.9050332827599883)+0.9492697792531456
3, iterativefit, central, 0, 0, 2.5, 100, 140, 0.9841642343385205, 1.1, 0.9394258925833743
3, iterativefit, central, 0, 0, 2.5, 140, 10000.0, -15, 0, 1.3764035120819325
3, iterativefit, central, 0, 0, 2.5, 140, 10000.0, 0, 0.0635771553915208, 1.3764035120819325
3, iterativefit, central, 0, 0, 2.5, 140, 10000.0, 0.0635771553915208, 0.2283174969182979, 30.3900166341644*(x-0.0635771553915208)*(x-0.0635771553915208)*(x-0.0635771553915208)+4.187435921813268*(x-0.0635771553915208)*(x-0.0635771553915208)-3.8539778882049207*(x-0.0635771553915208)+1.3764035120819325
3, iterativefit, central, 0, 0, 2.5, 140, 10000.0, 0.2283174969182979, 0.3286933401439557, -19.46918074372815*(x-0.2283174969182979)*(x-0.2283174969182979)*(x-0.2283174969182979)+2.9313531510966784*(x-0.2283174969182979)*(x-0.2283174969182979)+0.0*(x-0.2283174969182979)+0.9910145614678691
3, iterativefit, central, 0, 0, 2.5, 140, 10000.0, 0.3286933401439557, 0.42912712304965084, 44.765950296627665*(x-0.3286933401439557)*(x-0.3286933401439557)*(x-0.3286933401439557)-7.834653000529037*(x-0.3286933401439557)*(x-0.3286933401439557)+0.0*(x-0.3286933401439557)+1.0008593252789366
3, iterativefit, central, 0, 0, 2.5, 140, 10000.0, 0.42912712304965084, 0.5313662854719683, 10.120321752640706*(x-0.42912712304965084)*(x-0.42912712304965084)*(x-0.42912712304965084)-0.4806662468525696*(x-0.42912712304965084)*(x-0.42912712304965084)-0.21907267539128464*(x-0.42912712304965084)+0.9671826554580133
3, iterativefit, central, 0, 0, 2.5, 140, 10000.0, 0.5313662854719683, 0.6309301167176077, -95.82970326550496*(x-0.5313662854719683)*(x-0.5313662854719683)*(x-0.5313662854719683)+14.311758606369652*(x-0.5313662854719683)*(x-0.5313662854719683)+0.0*(x-0.5313662854719683)+0.9505760074250252
3, iterativefit, central, 0, 0, 2.5, 140, 10000.0, 0.6309301167176077, 0.7323581795026525, 328.1148299016132*(x-0.6309301167176077)*(x-0.6309301167176077)*(x-0.6309301167176077)-49.920077351947675*(x-0.6309301167176077)*(x-0.6309301167176077)+0.0*(x-0.6309301167176077)+0.9978666208894879
3, iterativefit, central, 0, 0, 2.5, 140, 10000.0, 0.7323581795026525, 0.8214945183646728, -510.36030809015307*(x-0.7323581795026525)*(x-0.7323581795026525)*(x-0.7323581795026525)+68.23747404547346*(x-0.7323581795026525)*(x-0.7323581795026525)+0.0*(x-0.7323581795026525)+0.826679827678609
3, iterativefit, central, 0, 0, 2.5, 140, 10000.0, 0.8214945183646728, 0.9049123838752468, 226.96841238546853*(x-0.8214945183646728)*(x-0.8214945183646728)*(x-0.8214945183646728)-29.992562782124672*(x-0.8214945183646728)*(x-0.8214945183646728)+0.0*(x-0.8214945183646728)+1.0074019306830237
3, iterativefit, central, 0, 0, 2.5, 140, 10000.0, 0.9049123838752468, 0.9838084255772378, 7.566999475462639*(x-0.9049123838752468)*(x-0.9049123838752468)*(x-0.9049123838752468)+0.7885079343113042*(x-0.9049123838752468)*(x-0.9049123838752468)-0.2657246130205648*(x-0.9049123838752468)+0.9304450518690901
3, iterativefit, central, 0, 0, 2.5, 140, 10000.0, 0.9838084255772378, 1.1, 0.9181046834265912
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, -15, 0, 0.8791576037610865
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0, 0.01, 0.8791576037610865
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0.01, 0.03, -4156.521861717848*(x-0.01)*(x-0.01)*(x-0.01)-49.41759390340265*(x-0.01)*(x-0.01)+12.668915500118775*(x-0.01)+0.8791576037610865
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0.03, 0.05633758105648142, 528.3523105071719*(x-0.03)*(x-0.03)*(x-0.03)-83.33669474198376*(x-0.03)*(x-0.03)+5.704385509921251*(x-0.03)+1.0795167013083582
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0.05633758105648142, 0.10481579059258454, 36.15759603137558*(x-0.05633758105648142)*(x-0.05633758105648142)*(x-0.05633758105648142)-17.43601496410762*(x-0.05633758105648142)*(x-0.05633758105648142)+2.414115154825606*(x-0.05633758105648142)+1.1816011586523814
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0.10481579059258454, 0.1885531232181048, 80.02870841522382*(x-0.10481579059258454)*(x-0.10481579059258454)*(x-0.10481579059258454)-10.53379487797763*(x-0.10481579059258454)*(x-0.10481579059258454)+0.9785074720960979*(x-0.10481579059258454)+1.2617755688174752
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0.1885531232181048, 0.4146179027074576, -1.2703340460697348*(x-0.1885531232181048)*(x-0.1885531232181048)*(x-0.1885531232181048)+4.218632637572439*(x-0.1885531232181048)*(x-0.1885531232181048)+0.8978334162710673*(x-0.1885531232181048)+1.3168405821105684
3, iterativefit, central, 2, 0.0, 0.8, 20, 30, 0.4146179027074576, 1.1, 1.7207272141669687
3, iterativefit, central, 2, 0.8, 1.6, 20, 30, -15, 0, 0.9184736294461155
