deepjet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, central, 1, 0, 2.5, 20.0, 10000, -15, 1.1, 1.0
3, iterativefit, central, 0, 0, 2.5, 20, 30, -15, 0, 1.1117807413107232
3, iterativefit, central, 0, 0, 2.5, 20, 30, 0, 0.05889789971652523, 1.1117807413107232
3, iterativefit, central, 0, 0, 2.5, 20, 30, 0.05889789971652523, 0.1983578267626793, -9.486939565366374*(x-0.05889789971652523)*(x-0.05889789971652523)*(x-0.05889789971652523)+6.7994821354396695*(x-0.05889789971652523)*(x-0.05889789971652523)-1.3429740744174112*(x-0.05889789971652523)+1.1117807413107232
3, iterativefit, central, 0, 0, 2.5, 20, 30, 0.1983578267626793, 0.2797486162286569, -190.27767137247724*(x-0.1983578267626793)*(x-0.1983578267626793)*(x-0.1983578267626793)+23.230274836130647*(x-0.1983578267626793)*(x-0.1983578267626793)+0.0*(x-0.1983578267626793)+1.031001234524289
3, iterativefit, central, 0, 0, 2.5, 20, 30, 0.2797486162286569, 0.3596655563532508, 356.0926361338802*(x-0.2797486162286569)*(x-0.2797486162286569)*(x-0.2797486162286569)-42.68675082108018*(x-0.2797486162286569)*(x-0.2797486162286569)+0.0*(x-0.2797486162286569)+1.0822972480606172
3, iterativefit, central, 0, 0, 2.5, 20, 30, 0.3596655563532508, 0.4499557538983703, -343.7586810681653*(x-0.3596655563532508)*(x-0.3596655563532508)*(x-0.3596655563532508)+46.55705883224155*(x-0.3596655563532508)*(x-0.3596655563532508)+0.0*(x-0.3596655563532508)+0.991421177808744
3, iterativefit, central, 0, 0, 2.5, 20, 30, 0.4499557538983703, 0.5500989058521292, 177.09688399669795*(x-0.4499557538983703)*(x-0.4499557538983703)*(x-0.4499557538983703)-26.602560246927805*(x-0.4499557538983703)*(x-0.4499557538983703)+0.0*(x-0.4499557538983703)+1.1179371882349267
3, iterativefit, central, 0, 0, 2.5, 20, 30, 0.5500989058521292, 0.6511281258879267, -1.2310104535397473*(x-0.5500989058521292)*(x-0.5500989058521292)*(x-0.5500989058521292)+0.4968991557566221*(x-0.5500989058521292)*(x-0.5500989058521292)+0.0*(x-0.5500989058521292)+1.0290079251293838
3, iterativefit, central, 0, 0, 2.5, 20, 30, 0.6511281258879267, 0.7516150703094764, -30.86118380915212*(x-0.6511281258879267)*(x-0.6511281258879267)*(x-0.6511281258879267)+4.339697195050283*(x-0.6511281258879267)*(x-0.6511281258879267)+0.06270825429952093*(x-0.6511281258879267)+1.032810314347672
3, iterativefit, central, 0, 0, 2.5, 20, 30, 0.7516150703094764, 0.8532856721386585, 76.14697561752561*(x-0.7516150703094764)*(x-0.7516150703094764)*(x-0.7516150703094764)-16.13203584877304*(x-0.7516150703094764)*(x-0.7516150703094764)+0.0*(x-0.7516150703094764)+1.0516181013324863
3, iterativefit, central, 0, 0, 2.5, 20, 30, 0.8532856721386585, 0.9698333494404935, 0.18129973230462307*(x-0.8532856721386585)*(x-0.8532856721386585)*(x-0.8532856721386585)-0.7147002421797607*(x-0.8532856721386585)*(x-0.8532856721386585)-0.918933994196719*(x-0.8532856721386585)+0.9648901028303988
